NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,550000,1299999,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKC 111X8K186590, Nomor Mesin KC 11 E - 1188656, Nomor Polisi ED 2008 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-3791629 atas nama Pemkab. S. Barat Daya.",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,550000,3078000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKC 111X8K186573, Nomor Mesin KC 11 E - 1188666, Nomor Polisi ED 2007 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-3791630 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,550000,1099999,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKC 11138K186558, Nomor Mesin KC 11 E - 1188518, Nomor Polisi ED 2020 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-3791638 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,436000,1500000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKC11168K186571, Nomor Mesin KC11E - 1188673, Nomor Polisi ED 2004 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-3791644 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,550000,1299999,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKClll38KI86576, Nomor Mesin KC11E-1188721, Nomor Polisi ED 2014 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-3791646 atas nama Pemkab. Sumba Barat Daya",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,243000,599999,"Satu unit Sepedamotor, Merk/Type Honda / NF 100 SE, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 100 cc, Nomor Rangka MHI4B7II08K599599, Nomor Mesin HB 71 E - 1593120, Nomor Polisi ED 2429 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-5013404 atas nama Pemkab. Sumba Barat Daya.",Honda,Supra,2008,100,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,747000,1800000,"Satu unit Sepedamotor, Merk/Type Honda Revo / NF11B2D1 M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 110 cc, Nomor Rangka MHIJBE 116BK 247320, Nomor Mesin JBELE 1245147, Nomor Polisi ED 2068 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01448001 atas nama Pemda Kab. Sumba Barat Daya.",Honda,Revo,2011,110,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,308000,899999,"Satu unit Sepedamotor, Merk/Type Honda / NF11B2D1 M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 110 cc, Nomor Rangka MHIJBE 115BK 2445316 Nomor Mesin JBELE 1243452, Nomor Polisi ED 2065 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01448004 atas nama Pemda Kab. Sumba Barat Daya.",Honda,Revo,2011,110,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,436000,1350000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2009, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHKIKC 111 79K244818, Nomor Mesin KCIIC-1247187, Nomor Polisi ED 2531 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) G-2976616 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2009,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,297000,855999,"Satu unit Sepedamotor, Merk/Type HONDA / NF125TD, Tahun 2007, Jenis/Model Sepedamotor/Solo, Isi Silinder 125 cc, Nomor Rangka MH1JB81177K089871, Nomor Mesin JB81E-1091921, Nomor Polisi ED 2041 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) E.7724004 atas nama Pemkab. Sumba Barat Daya.",Honda,Supra X,2007,125,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,550000,3127000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2008, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MH1KC11188K166452, Nomor Mesin KC11E-1168874, Nomor Polisi ED 2155 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-5013418 atas nama Pemkab. Sumba Barat Daya",Honda,GL 160,2008,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,726000,3160000,"Satu unit Sepedamotor, Merk/Type Honda / GL.15 A1DMT, Tahun 2012, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MHIKC2115CK076432, Nomor Mesin KC21E-1077705, Nomor Polisi ED 2106 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) J-05094419 atas nama Pemkab. SBD.",Honda,GL Max,2012,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,235000,899999,"Satu unit Sepedamotor, Merk/Type Honda / NF11B2D1M/T, Tahun 2012, Jenis/Model Sepedamotor/Solo, Isi Silinder 110 cc, Nomor Rangka MH1JBE111CK495105, Nomor Mesin JBE1E-1486416, Nomor PolisiED 2107 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) J-05094386 atas nama Pemkab. Sumba Barat Daya",Honda,Revo,2012,110,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,878000,1300000,"Satu unit Sepedamotor, Merk/Type Honda / GL 15A1D M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC2111BK051494, Nomor Mesin KC21E-1051455, Nomor Polisi ED 2104 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01448146 atas nama PPKAD. Pemkab SBD.",Honda,GL Max,2011,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,1033000,2000000,"Satu unit Sepedamotor, Merk/Type Honda/GL 15A1D M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MHIKC2117BK044419, Nomor Mesin KC21E1044518, Nomor Polisi ED 2064 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01446984 atas nama Dinas PPKAD Pemkab. SBD.",Honda,GL Max,2011,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,334000,1099999,"Satu unit Sepedamotor, Merk/Type Honda / GL 15A1RR, Tahun 2010, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC3113AK025872, Nomor Mesin KC31E-1025908, Nomor Polisi ED 764 C, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) H-02530560 atas nama Pemkab. Sumba Barat Daya.",Honda,GL Max,2010,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,274000,1099999,"Satu unit Sepedamotor, Merk/Type Honda / GL15A1RR M/T, Tahun 2010, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC3112AK027628, Nomor Mesin KC31E-1027633, Nomor Polisi ED 2717 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) H-02530523 atas nama Pemkab. Sumba Barat Daya.",Honda,GL Max,2010,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,625000,1099999,"Satu unit Sepedamotor, Merk/Type Honda / GL 15A1D M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC2116BK047148, Nomor Mesin KC21E-1047131, Nomor Polisi ED 2054 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01446974 atas nama Dinas PPKAD Pemkab. SBD.",Honda,GL Max,2011,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,414000,1099999,"Satu unit Sepedamotor, Merk/Type Honda / GL 15A1D M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC2119BK052134, Nomor Mesin KC21E-1052019, Nomor Polisi ED 2130 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01448172 atas nama PPKAD Pemkab. SBD",Honda,GL Max,2011,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,1015000,1599999,"Satu unit Sepedamotor, Merk/Type Honda / GL15AID M/T, Tahun 2011, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MHIKC2110BK051647, Nomor Mesin KC21E-1051693, Nomor Polisi ED 2118 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) I-01448160 atas nama PPKAD Pemkab. SBD.",Honda,GL Max,2011,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,265000,599999,"Satu unit Sepedamotor, Merk/Type Honda / GL 15A1RR, Tahun 2010, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MHI KC 31124AK 027693, Nomor Mesin KC 31 E 1027294, Nomor Polisi ED 738 C, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) H-02530534 atas nama Pemkab. Sumba Barat Daya.",Honda,GL Max,2010,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,936000,1800000,"Satu unit Sepedamotor, Merk/Type YAMAHA / 45P(BYSON), Tahun 2015, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH345P005FK301612, Nomor Mesin 45P 311730, Nomor Polisi ED 2657 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) M-10472710 atas nama Pemerintah Kabupaten Sumba Barat Daya.",Yamaha,Byson,2015,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,936000,1699999,"Satu unit Sepedamotor, Merk/Type YAMAHA / 45P(BYSON), Tahun 2015, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH345P00F5K300959, Nomor Mesin 45P-310970, Nomor Polisi ED 2650 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) M-10472717 atas nama Pemerintah Kab. Sumba Barat Daya.",Yamaha,Byson,2015,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,631000,1300000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2009, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MHIKC11169K230277, Nomor Mesin KC11E-1232418, Nomor Polisi ED 2176 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) F-6538423 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2009,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,631000,1299999,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2009, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MH1KC11139K245285, Nomor Mesin KC11E-1246818, Nomor Polisi ED 627 C, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) G-2976589 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2009,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,631000,1299999,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2009, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MH1KC11139K245254, Nomor Mesin KC11E-1248816, Nomor Polisi ED 626 C, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) G-2976588 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2009,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,332000,1300000,"Satu unit Sepedamotor, Merk/Type Honda/GL 160 D, Tahun 2009, Jenis/Model Sepedamotor/Solo, Isi Silinder 160 cc, Nomor Rangka MH1KC11199K245291, Nomor Mesin KC11E-1246835, Nomor Polisi ED 634 C, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) G-2976596 atas nama Pemkab. Sumba Barat Daya.",Honda,GL 160,2009,160,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,1002000,2000000,"Satu unit Sepedamotor, Merk/Type HONDA / GL 15A1 D, Tahun 2012, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH1KC211XCK07623, Nomor Mesin KC21E-1078462, Nomor Polisi ED 2174 WC, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) J-05094409 atas nama Pemkab. SBD",Honda,GL Max,2012,150,Tidak Ada
Pemkab Sumba Barat Daya,Sumba Barat Daya,2023,1273000,3500000,"Satu unit Sepedamotor, Merk/Type YAMAHA / 45P(BYSON), Tahun 2015, Jenis/Model Sepedamotor/Solo, Isi Silinder 150 cc, Nomor Rangka MH345P005FK299857, Nomor Mesin 45P 309875, Nomor Polisi ED 2643 JN, sesuai Dokumen Kepemilikan Buku Pemilikan Kendaraan Bermotor (BPKB) M-10472704 atas nama Pemerintah Kabupaten Sumba Barat Daya.",Yamaha,Byson,2015,150,Tidak Ada
Lapas Anak Kupang,Kota Kupang,2023,500000,4310000,"1 (satu) unit kendaraan roda 2 (dua) , merk Honda NF 100, Tahun Pembuatan 2001, Nomor Polisi DH 2270 WB, Nomor Rangka MH1KEV3181K064928, Nomor Mesin KEV3E-1064989, Warna Hitam, Bahan Bakar Bensin, lsi Silinder 100 cc, BPKB A No. 8060800 O atas nama Lembaga Pemasyarakatan Anak Klas II A Kupang dalam kondisi rusak berat (BPKB ada dan STNK ada (Fotokopi))",Honda,Supra Fit,2001,100,BPKB dan STNK
Kantor Kementerian Agama Kabupaten Lembata,Lembata,2023,500000,3001000,"1 (satu) buah Sepeda Motor , merk/Type Honda Suprafit 100 SL, Nomor Mesin HB.31 E -1209919, Nomor Rangka MH1HB31166K211054, Nomor Polisi EB 2590 WF (dahulu EB 603 F), Tahun Perakitan 2006, dokumen kepemilikan BPKB Ada dan STNK Ada, dalam kondisi rusak berat",Honda,Supra Fit,2006,100,BPKB dan STNK
Kantor Kementerian Agama Kabupaten Lembata,Lembata,2023,300000,809999,"1 (satu) buah Sepeda Motor , merk/Type Honda Suprafit 100 SL, Nomor Mesin HB41E -1283657, Nomor Rangka MH1HB411XOK284207, tanpa ada nomor polisi, Tahun Perakitan 2006, dokum",Honda,Supra Fit,2006,100,Tidak Ada
Kantor Kementerian Agama Kabupaten Lembata,Lembata,2023,750000,1500000,"1 (satu) buah Sepeda Motor , merk/Type Suzuki FL 125 RCD, Nomor Mesin F.496-lD-166095, Nomor Rangka MH88F45DA7J133858, Nomor Polisi DH 3525 AW, Tahun Perakitan 2007, dokumen kepemilikan BPKB Tidak Ada dan STNK tidak Ada, dalam kondisi rusak berat",Suzuki,Shogun,2007,125,STNK
Kantor Kementerian Agama Kabupaten Lembata,Lembata,2023,750000,1500000,"1 (satu) buah Sepeda Motor , merk/Type Suzuki FK 110 SD K6, Nomor Mesin E451-lD-456596, Nomor Rangka MHBBE4DFA7J455060, Nomor Polisi DH 2766 WK, Tahun Perakitan 2007, dokumen kepemilikan BPKB Tidak Ada dan STNK Ada, dalam kondisi rusak berat",Suzuki,Smash,2007,110,STNK
Kantor Kementerian Agama Kabupaten Lembata,Lembata,2023,750000,1299999,"1 (satu) buah Sepeda Motor , merk/Type Suzuki FK 110 SD K6, Nomor Mesin E451-lD-438211, nomor rangka : MHBBE4DFA7J438549, Nomor Polisi DH 277 VA, Tahun Perakitan 2007, Dokumen Kepemilikan BPKB Tidak Ada dan STNK Ada, dalam kondisi rusak berat",Suzuki,Smash,2007,110,STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,453000,1555555,"1 (Satu) Unit Sepeda Motor , merk Honda Win/ MCB , Nomor Polisi DH 5374 G , Tahun Perakitan 2004, Nomor Rangka MH1HABD144K042531, Nomor Mesin HABDE - 1042117, Dokumen Kepemilikan BPKB D Nomor 0893910 O dan STNK Ada, dalam kondisi Rusak Berat",Honda,Win MCB,2004,100,STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1231000,2000000,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5565 YU (d.h. DH 5565 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC118AK958066, Nomor Mesin JBC1E-1955387, Dokumen Kepemilikan BPKB Nomor H-01299588 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1529000,2579999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5566 YU (d.h.DH 5566 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC125AK060694, Nomor Mesin JBC1E-2065051, Dokumen Kepemilikan BPKB Nomor H-01299589 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1588000,2338999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5568 YU (d.h. DH 5568 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC126AK037859, Nomor Mesin JBC1E-2043315, Dokumen Kepemilikan BPKB Nomor H-01299591 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1529000,1629999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5569 YU (d.h. DH 5569 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC124AK037830, Nomor Mesin JBC1E-2039240, Dokumen Kepemilikan BPKB Nomor H-01299592 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1529000,2250500,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5576 YU (d.h.DH 5576 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC116AK968112, Nomor Mesin JBC1E-1970228, Dokumen Kepemilikan BPKB Nomor H-01299599 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1674000,4585999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5595 YU (d.h.DH 5595 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC117AK932445, Nomor Mesin JBC1E-1932142, Dokumen Kepemilikan BPKB Nomor H-01299618 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1674000,3750999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5666 YU (d.h. DH 5666 G), Tahun Perakitan 2011, Nomor Rangka MH1JBC121BK312135, Nomor Mesin JBC1E-2300084, Dokumen Kepemilikan BPKB Nomor H-06169009 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2011,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1674000,2599999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B2D1 M/T , Nomor Polisi DH 5759 YU , Tahun Perakitan 2012, Nomor Rangka MH1JBE113CK354231, Nomor Mesin JBE1E1346932, Dokumen Kepemilikan BPKB Nomor J-01254452 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2012,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,964000,2500000,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5577 YU (d.h.DH 5577 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC118AK968466, Nomor Mesin JBC1E-1970635, Dokumen Kepemilikan BPKB Nomor H-01299600 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,418000,1222222,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5583 YU (d.h.DH 5583 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC114AK972353, Nomor Mesin JBC1E-1965563, Dokumen Kepemilikan BPKB Nomor H-01299606 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,418000,1200050,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5588 YU (d.h.DH 5588 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC126AK037845, Nomor Mesin JBC1E-2043454, Dokumen Kepemilikan BPKB Nomor H-01299611 dan STNK Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB dan STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,508000,1050550,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 100 TD, Nomor Polisi DH 5245 YU (d.h. DH 5245 G), Tahun Perakitan 2007, Nomor Rangka MH1HB611X7K073652, Nomor Mesin HB61E-1074999, Dokumen Kepemilikan BPKB E Nomor 6741407 O dan STNK Ada, dalam kondisi Rusak Berat",Honda,Supra Fit,2007,100,STNK
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,916000,1500500,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5589 YU (d.h. DH 5589 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC118AK968113, Nomor Mesin JBC1E-1970222, Dokumen Kepemilikan BPKB Nomor H-01299612 dan STNK Tidak Ada, dalam kondisi Rusak Berat -",Honda,Revo,2010,110,BPKB
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,916000,1147777,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5593 YU (d.h. DH 5593 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC127AK024781, Nomor Mesin JBC1E-2028214, Dokumen Kepemilikan BPKB Nomor H-01299616 dan STNK Tidak Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1452000,2109999,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5594 YU (d.h DH 5594 G), Tahun Perakitan 2010, Nomor Rangka MH1JBC129AK025902, Nomor Mesin JBC1E-2029020, Dokumen Kepemilikan BPKB Nomor H-01299617 dan STNK Tidak Ada, dalam kondisi Rusak Berat",Honda,Revo,2010,110,BPKB
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,985000,2000000,"1 (Satu) Unit Sepeda Motor , merk HONDA NF 11B 1D M/T , Nomor Polisi DH 5668 YU (d.h. DH 5668 G), Tahun Perakitan 2011, Nomor Rangka MH1JBC125BK312588, Nomor Mesin JBC1E-2281176, Dokumen Kepemilikan BPKB Nomor H-06169011 dan STNK Tidak Ada, dalam kondisi Rusak Berat",Honda,Revo,2011,110,BPKB
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,611000,1689999,"1 (Satu) Unit Sepeda Motor , merk Yamaha 1S7, JP MX, Nomor Polisi DH 5389 YU (d.h. DH 5389 G), Tahun Perakitan 2009, Nomor Rangka MH31S70069K522463, Nomor Mesin 1S7 - 522519, Dokumen Kepemilikan BPKB F Nomor 6540666 O dan STNK Tidak Ada, dalam kondisi Rusak Berat",Yamaha,Jupiter MX,2009,135,Tidak Ada
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,1727000,3333333,"1 (Satu) Unit Sepeda Motor , merk Honda / NF 11B2D1 , Nomor Polisi DH 5728 WH (d. h. DH 5728 G), Tahun Perakitan 2011, Nomor Rangka MH1JBE119BK118875, Nomor Mesin JBE1E-1119047, Dokumen Kepemilikan BPKB Nomor H-06169300 - dan STNK Tidak Ada, dalam kondisi Rusak Berat",Honda,Revo,2011,110,BPKB
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,258000,811111,"1 (Satu) Unit Sepeda Motor , merk Honda / C 100 ML /Legenda, Nomor Polisi DH 936 HA, Tahun Perakitan 2002, Nomor Rangka MH1NFGF122K060277, Nomor Mesin NFGFE - 1060037, Dokumen Kepemilikan BPKB C Nomor 5017870 O dan STNK Tidak Ada, dalam kondisi Rusak Berat",Honda,Astrea C100,2002,100,Tidak Ada
Sekretariat Daerah Pemerintah Kabupaten Rote Ndao,Rote Ndao,2023,429000,1200000,"1 (Satu) Unit Sepeda Motor , merk Honda NF 125 DD, Nomor Polisi DH 6202 YU (d. h. 5075 G), Tahun Perakitan 2006, Nomor Rangka MH1JB71176K007386, Nomor Mesin JB71E-1007288, Dokumen Kepemilikan BPKB Tidak Ada dan STNK Ada, dalam kondisi Rusak Berat",Honda,Supra X,2006,125,STNK
