NAMA PEMOHON LELANG/PENJUAL,LOKASI,TAHUN LELANG,NILAI LIMIT,POKOK LELANG,URAIAN BARANG,Merk,Type,Tahun Kendaraan,Isi Silinder,Dok Kepemilikan
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,936000,936000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008  Nomor Polisi EB 776 G, Nomor Rangka MH1KC11138K154581, Nomor Mesin KC11E1156681, Nomor BPKB  F NO 0589021 O, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1201000,1301000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam Abu Abu, Tahun Pembuatan 2011  Nomor Polisi EB 689 AG, Nomor Rangka MH1KC2118BK046373, Nomor Mesin KC21E1046383, Nomor BPKB I-01445004, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2011,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1264000,1464000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2008,  Nomor Polisi EB 3889  WG, Nomor Rangka MH1KC11138K153365, Nomor Mesin KC11E1155431, Nomor BPKB F NO 0589011 O, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2008,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,551000,551000,"Satu Unit Sepeda Motor, Merk Suzuki Smash, Warna Biru, Tahun Pembuatan 2010,  Nomor Polisi EB 614 AG, Nomor Rangka MH8BE4DUAAJ147362, Nomor Mesin E4701D152520, Nomor BPKB H-02396133, STNK Tidak Ada, Kondisi Jelek Sekali",Suzuki,Smash,2010,110,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1264000,1264000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam Abu Abu, Tahun Pembuatan 2011,  Nomor Polisi EB 3717 WG, Nomor Rangka MH1KC2119BK046317, Nomor Mesin KC21E1046344, Nomor BPKBI-01445005, STNK Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2011,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,464000,514000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2006,  Nomor Polisi EB 650 G, Nomor Rangka MH1KC11156K031992, Nomor Mesin KC11E1030497, Nomor BPKB E NO 1298082 O, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,415000,465000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2006,  Nomor Polisi EB 649 G, Nomor Rangka MH1KC11166K037428, Nomor Mesin KC11E1037060,  BPKB Tidak Ada, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,464000,564000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2006,  Nomor Polisi EB 503 G, Nomor Rangka MH1KEHL185K146133, Nomor Mesin KELHE1145043, Nomor BPKBD NO 7397435 O, STNK Tidak Ada, Kondisi Jelek Sekali",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,268000,318000,"Satu Unit Sepeda Motor, Merk Yamaha YT 125, Warna -, Tahun Pembuatan 1997,  Nomor Polisi -, Nomor Rangka MH33WL004XK136264, Nomor Mesin 3HB2011CM, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Jelek Sekali",Yamaha,YT 125,1997,125,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1433000,1633000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Merah Hitam, Tahun Pembuatan 2013,  Nomor Polisi EB 847 AG, Nomor Rangka MH1KC3115DK281306, Nomor Mesin KC31E1280065, Nomor BPKB K-01954934, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2013,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1721000,2121000,"Satu Unit Sepeda Motor, Merk Yamaha YT 125, Warna -, Tahun Pembuatan 1999,  Nomor Polisi -, Nomor Rangka MH33WL004XK135614, Nomor Mesin 3 HB 244572, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Yamaha,YT 125,1999,125,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,775000,1525000,"Satu Unit Sepeda Motor, Merk Yamaha YT 125, Warna -, Tahun Pembuatan 2000,  Nomor Polisi -, Nomor Rangka MH33WL04YK140312, Nomor Mesin 3 HB 263390, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Yamaha,YT 125,2000,125,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,721000,871000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2006,  Nomor Polisi EB 561 G, Nomor Rangka MH1KC11156K003903, Nomor Mesin KC11E1003286, Nomor BPKB D NO 9843897 O, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,511000,761000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2006,  Nomor Polisi EB 564 G, Nomor Rangka MH1KC11126K003986, Nomor Mesin KC11E1003299, Nomor BPKB D NO 9843900, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,511000,761000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2006,  Nomor Polisi EB 562  G, Nomor Rangka MH1KC11146K003908, Nomor Mesin KC11E1003282, Nomor BPKB D NO 9843898, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2006,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1262000,1562000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2009,  Nomor Polisi EB 537 AG, Nomor Rangka MH1KC12119K169709, Nomor Mesin KC12E1169177, Nomor BPKB F NO 6307653 O, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2009,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1262000,2662000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna Hitam, Tahun Pembuatan 2009,  Nomor Polisi EB 579 AG, Nomor Rangka MH1KC11139K244895, Nomor Mesin KC11E1247170, Nomor BPKB G NO 1095758 O, STNK Ada, Kondisi Sedang",Honda,Mega Pro,2009,150,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,875000,1675000,"Satu Unit Sepeda Motor, Merk Honda Win, Warna Hitam, Tahun Pembuatan 2004,  Nomor Polisi EB 653 AG, Nomor Rangka MH1HABD133K032426, Nomor Mesin HABDE1032600, BPKB Tidak Ada, STNK Ada, Kondisi Jelek Sekali",Honda,Win,2004,100,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,607000,1007000,"Satu Unit Sepeda Motor, Merk Honda Supra X 125, Warna Putih Merah, Tahun Pembuatan 2008,  Nomor Polisi EB 553  G, Nomor Rangka MH1JB51136K586784, Nomor Mesin JB51E1584365, Nomor BPKB D NO 9843860, STNK Ada, Kondisi Sedang",Honda,Supra X,2008,125,STNK
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,666000,966000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2007,  Nomor Polisi EB 700 G, Nomor Rangka MH1KC11147K054522, Nomor Mesin KC11E1054081, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,922000,1422000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2007,  Nomor Polisi EB 699 G, Nomor Rangka MH1KC11127K055989, Nomor Mesin KC11E1055451, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1067000,1467000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2007,  Nomor Polisi EB 702 G, Nomor Rangka MH1KC11146K042921, Nomor Mesin KC11E1041988, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1269000,2169000,"Satu Unit Sepeda Motor, Merk Yamaha Scorpio, Warna -, Tahun Pembuatan 2008,  Nomor Polisi EB 708  G, Nomor Rangka MH35BP0078K102365, Nomor Mesin 5BP102461, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Yamaha,Scorpio,2008,223,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,494000,594000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2007,  Nomor Polisi EB 703 G, Nomor Rangka MH1KC11106K031334, Nomor Mesin KC11E1031173, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2007,150,Tidak Ada
Pemerintah Kabupaten Manggarai Barat,Manggarai Barat,2024,1217000,1617000,"Satu Unit Sepeda Motor, Merk Honda Mega Pro, Warna -, Tahun Pembuatan 2009,  Nomor Polisi -, Nomor Rangka MH1KC11139K225134, Nomor Mesin KC11E1227015, BPKB Tidak Ada, STNK Tidak Ada, Kondisi Sedang",Honda,Mega Pro,2009,150,Tidak Ada
